,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
1.,RAINSHOW S.R.L.,IT03595550835,03595550835,ME0248323,03595550835,"VIA FRANCESCO CRISPI, 4",Messina,98066,Sicilia,,,,,711210,06/12/2019,,Attiva,S.R.L.
2.,CHECKSIG S.R.L. SOCIETA' BENEFIT,IT11028330964,11028330964,MI2573724,11028330964,"PZA DEL LIBERTY, 8",Milano,20121,Lombardia,PIAZZA DEL LIBERTY 8,Milano,20121,LOMBARDIA,620100,25/10/2019,,Attiva,S.R.L.
3.,OTOFARMA S.P.A.,IT08431301210,08431301210,NA0957454,08431301210,"VLE ANTONIO GRAMSCI, 17/B",Napoli,80122,Campania,VIA VIC S.M. DEL PIANTO TORRE 2,Napoli,80144,CAMPANIA,266002,13/07/2016,,Attiva,S.P.A.
4.,SIKELIA OIL S.R.L.,IT03577640836,03577640836,ME0247028,03577640836,"VIA STRETTO I COCCOMELLI, 64",Messina,98051,Sicilia,,,,,473000,15/07/2019,,Attiva,S.R.L.
5.,POWER.IT S.R.L.,IT04355290166,04355290166,BG0456683,04355290166,"VIA ALESSANDRO NOLI, 13",Bergamo,24125,Lombardia,,,,,352300,31/01/2019,,Attiva,S.R.L.
6.,NOON S.R.L.,IT06570270824,06570270824,PA0330183,06570270824,"VIA ALESSANDRO TELESINO, 51/53",Palermo,90135,Sicilia,VIA ALESSANDRO TELESINO 51,Palermo,90135,SICILIA,432101,27/01/2017,,Attiva,S.R.L.
7.,"MILK UP S.R.L. START UP COSTITUITA A NORMA DELL'ART. 4, COMMA 10 BIS, DEL D.L. 24/01/2015 N. 3",IT04452200613,04452200613,NA1045836,04452200613," DIREZIONALE ISOLA E 3, SNC",Napoli,80143,Campania,ISOLA E 3 SNC,Napoli,80100,CAMPANIA,105120,31/10/2019,,Attiva,S.R.L.
8.,PARKINGMYCAR ITALIA S.R.L.,IT03704340540,03704340540,PG0308101,03704340540,"CSO VITTORIO EMANUELE, 27",Perugia,06012,Umbria,,,,,799019,02/10/2019,,Attiva,S.R.L.
9.,DUSTY SERVICES ENGINEERING S.R.L.,IT01499940912,01499940912,NU0106194,01499940912,"LOC IS CORRINCAS - ZONA IND.LE, SNC",Nuoro,08011,Sardegna,VIA TRIESTE 79/81/83,Nuoro,08100,SARDEGNA,749032,07/11/2016,,Attiva,S.R.L.
10.,PRONTI VIA SRL,IT02708400698,02708400698,BR0162516,02708400698,"VIA STAZIONE, ZONA INDUSTRIAL",Brindisi,72017,Puglia,VIA STAZIONE ZONA INDUSTRIALE 0,Brindisi,72017,PUGLIA,721100,30/11/2020,,Attiva,S.R.L.
11.,HINOVIA SRL,IT05128330262,05128330262,TV0427266,05128330262,"VLE QUATTRO NOVEMBRE, 28",Treviso,31100,Veneto,VIA SIORA ANDRIANA DEL VESCOVO 5 C,Treviso,31100,VENETO,823000,03/12/2020,,Attiva,S.R.L.
12.,ING VITO ABATE SRL START UP,IT06768690825,06768690825,TP0199255,06768690825,VIA CADUTI DI NASSIRYA,Trapani,91022,Sicilia,VIA CADUTI DI NASSIRYA SNC,Trapani,91022,SICILIA,722000,27/05/2019,,Attiva,S.R.L.
13.,OPEN ENERGIA S.R.L.,IT04031080130,04031080130,MI2738295,04031080130,"VIA VITTOR PISANI, 20",Milano,20124,Lombardia,,,,,279009,10/05/2022,,Attiva,S.R.L.
14.,SHOW REEL AGENCY S.R.L.,IT10729450964,10729450964,MI2552804,10729450964,"VLE PIAVE, 21",Milano,20129,Lombardia,VIA GIUSEPPE CANDIANI 127,Milano,20158,LOMBARDIA,731102,07/03/2019,,Attiva,S.R.L.
15.,DONKI S.R.L.,IT03856471200,03856471200,BO0551499,03856471200,"VIA CARLO LUIGI FARINI, 21",Bologna,40124,Emilia-Romagna,,,,,620100,24/02/2020,,Attiva,S.R.L.
16.,G - BIKE STORE S.R.L.,IT04184260612,04184260612,CE0305662,04184260612,"CSO TRIESTE, 166/A",Caserta,81100,Campania,CORSO TRIESTE 166/A,Caserta,81100,CAMPANIA,464940,20/10/2016,,Attiva,S.R.L.
17.,BRIMIND S.R.L.,IT04453310163,04453310163,BG0464111,04453310163,"VIA LAGO D'IDRO, 15",Bergamo,24060,Lombardia,,,,,261109,29/05/2020,,Attiva,S.R.L.
18.,I-PERGOLA S.R.L. SOCIETA' BENEFIT,IT04363870983,04363870983,BS0608944,04363870983,"VIA FLERO, 28",Brescia,25125,Lombardia,,,,,271100,03/03/2022,,Attiva,S.R.L.
19.,TAYLA SRL,IT04077311209,04077311209,BO0567338,04077311209,"VLE ANGELO MASINI, 12",Bologna,40126,Emilia-Romagna,,,,,620100,06/12/2022,,Attiva,S.R.L.
20.,NEXTCHAIN SRL,IT11578840966,11578840966,MI2612770,11578840966,"VLE LUNIGIANA, 40",Milano,20125,Lombardia,VIALE LUNIGIANA 40,Milano,20125,LOMBARDIA,620200,26/01/2021,,Attiva,S.R.L.
21.,VACTIS S.R.L.,IT08716971216,08716971216,NA0979695,08716971216,"CSO SALVATORE D'AMATO, 54",Napoli,80022,Campania,CORSO SALVATORE D'AMATO 54,Napoli,80022,CAMPANIA,432201,18/07/2017,,Attiva,S.R.L.
22.,KIMERA AUTOMOBILI S.R.L.,IT03889470047,03889470047,CN0322252,03889470047,"VIA BASSE DI CHIUSANO, 8",Cuneo,12100,Piemonte,,,,,291000,20/05/2020,,Attiva,S.R.L.
23.,COSMIC S.R.L.,IT11660660967,11660660967,MI2617408,11660660967,"FOR BUONAPARTE, 22",Milano,20121,Lombardia,VIA BERGAMO 7,Milano,20135,LOMBARDIA,620100,03/03/2021,,Attiva,S.R.L.
24.,INSIDE CODE SOLUTIONS SRL,IT01409240775,01409240775,MT0212990,01409240775,VIA GIOVANNI AGNELLI,Matera,75100,Basilicata,,,,,702209,17/11/2022,,Attiva,S.R.L.
25.,"ELOGY S.R.L. (START UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 DEL DECRETO LEGGE 24 GENNAIO 2015, N. 3).",IT01739520623,01739520623,BN0144663,01739520623,"VIA SALVATORE ROSA, 42",Benevento,82100,Campania,VIA SALVATORE ROSA 42,Benevento,82100,CAMPANIA,620100,06/03/2019,,Attiva,S.R.L.
26.,WNN S.R.L.,IT02619740208,02619740208,RM1650518,02619740208,"PLE CLODIO, 22",Roma,00195,Lazio,PIAZZALE CLODIO 22,Roma,00195,LAZIO,479110,22/06/2020,,Attiva,S.R.L.
27.,BE CONTENT S.R.L.,IT15847011002,15847011002,MI2603401,15847011002,"LGO AUGUSTO, 3",Milano,20122,Lombardia,,,,,591100,18/09/2020,,Attiva,S.R.L.
28.,MAGMA S.R.L.,IT01621490919,01621490919,NU0116082,01621490919,"VIA MONSIGNORE VIRGILIO, 33",Nuoro,08048,Sardegna,,,,,900209,17/12/2021,,Attiva,S.R.L.
29.,GUMPAB SRL,IT02851900429,02851900429,RM1656009,02851900429,"PZA VERBANO, 8",Roma,00199,Lazio,PIAZZA IV NOVEMBRE 1,Ancona,60123,MARCHE,855920,03/03/2020,,Attiva,S.R.L.
30.,HIVE S.R.L.,IT02893710356,02893710356,RE0322623,02893710356,"VIA ERMETE CONTI, 7",Reggio nell'Emilia,42020,Emilia-Romagna,VIA ERMETE CONTI 7,Reggio nell'Emilia,42020,EMILIA-ROMAGNA,791200,16/06/2020,,Attiva,S.R.L.
31.,FULLTRUCK S.R.L.,IT06679920824,06679920824,PA0407957,06679920824,"VIA LUDOVICO ARIOSTO, 9/INT 4",Palermo,90144,Sicilia,,,,,631200,20/03/2018,,Attiva,S.R.L.
32.,APR AEROSPACE S.R.L.,IT12380160015,12380160015,TO1285720,12380160015,"CSO DUCA DEGLI ABRUZZI, 2",Torino,10128,Piemonte,,,,,711220,02/11/2020,,Attiva,S.R.L.
33.,GRONDAL SOCIETA' AGRICOLA SRL IN LIQUIDAZIONE,IT05578760653,05578760653,NA0979416,05578760653,"VIA FRATTE, 2",Napoli,80053,Campania,,,,,721909,23/02/2017,,In liquidazione,S.R.L.
34.,"B.R.I.D.G.E. ENGINEERING S.R.L. START UP COSTITUTITA A NORMA DELL'ART. 4, COMMA 10 BIS, DEL DECRETO LEGGE 24 GENNAIO 2015, N. 3",IT04329210712,04329210712,FG0318933,04329210712,"VIA SARACENI, 41",Foggia,71016,Puglia,,,,,267012,06/11/2020,,Attiva,S.R.L.
35.,CO-SUD S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N. 3,IT09524761211,09524761211,NA1038321,09524761211,"TRA I DI VIA NOLA, 14",Napoli,80033,Campania,TRAVERSA I DI VIA NOLA 14,Napoli,80033,CAMPANIA,620100,11/06/2020,,Attiva,S.R.L.
36.,INCARICA ENERGIA S.R.L. START-UP COSTITUITA A NORMA DELL'ART.4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N.3,IT04486160163,04486160163,BG0466630,04486160163,"VIA GABRIELE CAMOZZI, 111",Bergamo,24121,Lombardia,,,,,620100,16/12/2020,,Attiva,S.R.L.
37.,NEYEN SRL,IT04588450165,04588450165,BG0474221,04588450165,"VIA CARLO SERASSI, 21",Bergamo,24124,Lombardia,,,,,711220,23/02/2022,,Attiva,S.R.L.
38.,"ABBRUZZAMI S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015, N. 3",IT02053830671,02053830671,TE0175085,02053830671,"VLE ABRUZZO, 35",Teramo,64025,Abruzzo,VIALE ABRUZZO 35,Teramo,64025,ABRUZZO,631200,02/08/2019,,Attiva,S.R.L.
39.,SN INNOVATIVE SRL,IT05334320263,05334320263,TV0436884,05334320263,"VIA CARLO ALBERTO, 51",Treviso,31100,Veneto,VIA CARLO ALBERTO 51,Treviso,31100,VENETO,289999,16/06/2022,,Attiva,S.R.L.
40.,MLT SRL,IT09681811213,09681811213,NA1049965,09681811213,"VIA ARCANGELO GHISLERI, 80",Napoli,80144,Campania,,,,,522190,25/01/2021,,Attiva,S.R.L.
41.,COSMICO S.R.L.,IT11186440969,11186440969,MI2585976,11186440969,"PZA GENERALE ARMANDO DIAZ, 1",Milano,20123,Lombardia,VIALE FRANCESCO RESTELLI 1,Milano,20124,LOMBARDIA,620200,12/02/2020,,Attiva,S.R.L.
42.,EPIC EDUCATION S.R.L.,IT15878411006,15878411006,RM1620997,15878411006,"VIA DEI MAGAZZINI GENERALI, 16",Roma,00154,Lazio,,,,,620100,15/10/2020,,Attiva,S.R.L.
43.,EVODATA S.R.L.,IT12740600965,12740600965,MI2681171,12740600965,"VIA SUMATRA, 9",Milano,20157,Lombardia,VIA SUMATRA 9,Milano,20157,LOMBARDIA,620100,13/01/2023,,Attiva,S.R.L.
44.,FUTURA S.P.A.,IT04322010713,04322010713,MI2664024,04322010713,"VIA GIUSEPPE RIPAMONTI, 44",Milano,20141,Lombardia,,,,,855920,08/10/2020,,Attiva,S.P.A.
45.,GREEN-LAND S.R.L.,IT04302890985,04302890985,BS0604231,04302890985,"VIA ALDO MORO, 5",Brescia,25124,Lombardia,VIA ALDO MORO 5,Brescia,25124,LOMBARDIA,749000,20/07/2021,,Attiva,S.R.L.
46.,STARPOWER HEALTH&CONTRACT S.R.L.,IT06710500825,06710500825,PA0410100,06710500825,"PZA FRANCESCO CRISPI, 9",Palermo,90139,Sicilia,PIAZZA FRANCESCO CRISPI 9,Palermo,90139,SICILIA,711220,18/07/2018,,Attiva,S.R.L.
47.,BIKEROOM S.R.L.,IT04111610988,04111610988,BS0589222,04111610988,"VIA VITTORIO EMANUELE II, 1",Brescia,25122,Lombardia,VIA VITTORIO EMANUELE II 1,Brescia,25122,LOMBARDIA,620100,17/06/2019,,Attiva,S.R.L.
48.,PRESIDENT VOYAGE JETS S.R.L. IN FORMA ABBREVIATA PVJETS S.R.L.,IT11944520961,11944520961,MI2632090,11944520961,"VIA MARCONA, 15",Milano,20129,Lombardia,,,,,799019,03/08/2021,,Attiva,S.R.L.
49.,FUEL SRL,IT02805380421,02805380421,RM1644206,02805380421,"VLE ANGELICO, 36/B",Roma,00195,Lazio,VIALE ANGELICO 36/B,Roma,00195,LAZIO,631200,13/12/2018,,Attiva,S.R.L.
50.,ESG S.R.L.,IT02788380182,02788380182,PV0301334,02788380182,"CSO GENOVA, 28",Pavia,27029,Lombardia,,,,,289300,27/01/2020,,Attiva,S.R.L.
51.,GLOBUS 2020 SOCIETA' BENEFIT A RESPONSABILITA' LIMITATA,IT05959060657,05959060657,SA0488083,05959060657,"VIA GIAN VINCENZO QUARANTA, 8",Salerno,84122,Campania,,,,,620100,08/11/2020,,Attiva,S.R.L.
52.,WEB MAGAZINE MAKERS SRL,IT10883660960,10883660960,MI2563716,10883660960,"CSO VENEZIA, 45",Milano,20121,Lombardia,,,,,581900,18/06/2019,,Attiva,S.R.L.
53.,"EDILHUB SOCIETA' A RESPONSABILITA' LIMITATA START-UP COSTITUITA A NORMA DELL'ART. 4, COMMA 10 BIS, DEL DECRETO LEGGE 24 GENNAIO 2015, N. 3 .",IT08544130720,08544130720,BA0633845,08544130720,"VIA ROMA, 22",Bari,70024,Puglia,,,,,412000,24/02/2021,,Attiva,S.R.L.
54.,RINA CYBER S.P.A.,IT14829391003,14829391003,RM1549042,14829391003,"VLE CESARE PAVESE, 305",Roma,00144,Lazio,VIALE CITTA' D'EUROPA 618,Roma,00144,LAZIO,620909,06/06/2018,,Attiva,S.P.A.
55.,SCATOLIFICIO S.M.S. SOCIETA' A RESPONSABILITA' LIMITATA,IT02842820421,02842820421,AN0261308,02842820421,"VIA OLIMPIA, 44",Ancona,60027,Marche,VIA MONTEFANESE 254,Ancona,60027,MARCHE,172100,23/12/2019,,Attiva,S.R.L.
56.,NUMBER 1 INTERNATIONAL S.R.L.,IT11717530965,11717530965,MI2621209,11717530965,"STR VECCHIA PAULLESE, SNC",Milano,20067,Lombardia,STRADA VECCHIA PAULLESE SNC,Milano,20067,LOMBARDIA,620100,08/04/2021,,Attiva,S.R.L.
57.,HORIZEN LABS ITALIA S.R.L.,IT10779300960,10779300960,MI2556682,10779300960,"VIA VITTOR PISANI, 15",Milano,20124,Lombardia,CORSO DI PORTA ROMANA 6,Milano,20122,LOMBARDIA,620200,11/04/2019,,Attiva,S.R.L.
58.,DANKE PELLETTERIA S.R.L.,IT04416120162,04416120162,BG0461301,04416120162,"CSO EUROPA, 25",Bergamo,24020,Lombardia,,,,,151209,18/11/2019,,Attiva,S.R.L.
59.,PRT VISUAL SRL,IT04982120265,04982120265,TO1314220,04982120265,"VIA FREJUS, 5",Torino,10092,Piemonte,RIVIERA MAESTRI DEL LAVORO 20/2,Padova,35127,VENETO,133000,19/12/2018,,Attiva,S.R.L.
60.,SYMBIONT ITALIA SRL,IT12523020969,12523020969,MI2667414,12523020969,"VIA FATEBENEFRATELLI, 20",Milano,20121,Lombardia,VIA FATEBENEFRATELLI 20,Milano,20121,LOMBARDIA,582900,28/07/2022,,Attiva,S.R.L.
61.,MAZZERO CARPENTERIA SRL SB,IT05068020261,05068020261,TV0423526,05068020261,"VIA RUI STORT, 13/C",Treviso,31010,Veneto,,,,,259999,14/02/2020,,Attiva,S.R.L.
62.,BINAR S.R.L.,IT11504620961,11504620961,MI2607696,11504620961,"CSO MAGENTA, 10",Milano,20123,Lombardia,,,,,152010,09/12/2020,,Attiva,S.R.L.
63.,FLATMATES S.R.L.,IT04267420984,04267420984,BS0601554,04267420984,"VLE VENEZIA, 20",Brescia,25123,Lombardia,,,,,731102,18/03/2021,,Attiva,S.R.L.
64.,DOUBLE 3 MEDIA S.P.A. START UP INNOVATIVA BENEFIT,IT16878081005,16878081005,RM1681401,16878081005,"VIA GIUSEPPE GIOACHINO BELLI, 86",Roma,00193,Lazio,VIA GIUSEPPE GIOACHINO BELLI 86,Roma,00193,LAZIO,620100,04/10/2022,,Attiva,S.P.A.
65.,SUPERSIGNUM - SOCIETA' PER AZIONI SUPERSIGNUM SPA,IT12516380966,12516380966,MI2667018,12516380966,"VIA SAN MARCO, 26",Milano,20121,Lombardia,VIA SAN MARCO 26,Milano,20121,LOMBARDIA,741010,27/07/2022,,Attiva,S.P.A.
66.,HELIUM S.R.L.,IT02576010223,02576010223,TN0234757,02576010223,"VIA VIGILIO PARTELI, 19",Trento,38068,Trentino-Alto Adige/Südtirol,VIA VIGILIO PARTELI 19,Trento,38068,TRENTINO-ALTO,620100,14/01/2020,,Attiva,S.R.L.
67.,AERO GAMA SRL,IT08402691219,08402691219,NA0955127,08402691219,"CSO ANTONIO CAMPANO, 55",Napoli,80014,Campania,VIA BUGNANO SNC,Caserta,81030,CAMPANIA,256200,06/06/2016,,Attiva,S.R.L.
68.,BLACK NOVA ITALIA S.R.L.,IT04222260988,04222260988,BS0598000,04222260988,"VIA CORSICA, 143",Brescia,25125,Lombardia,,,,,332003,07/10/2020,,Attiva,S.R.L.
69.,MANTEIA-MEMAR S.R.L.,IT11038990963,11038990963,MI2574577,11038990963,"VIA FRATELLI GABBA, 5",Milano,20121,Lombardia,VIA FRATELLI GABBA 5,Milano,20121,LOMBARDIA,702209,07/11/2019,,Attiva,S.R.L.
70.,S.STORE S.R.L.,IT11230860964,11230860964,MI2588675,11230860964,"VIA ALBERICO ALBRICCI, 8",Milano,20122,Lombardia,,,,,620100,12/03/2020,,Attiva,S.R.L.
71.,HINFRA S.R.L.,IT02665130064,02665130064,AL0302740,02665130064,"VIA LUIGI BUZZI, 6",Alessandria,15033,Piemonte,,,,,289209,21/05/2021,,Attiva,S.R.L.
72.,ENERGIA PIU' S.R.L.,IT04211550241,04211550241,VI0387660,04211550241,"VIA DANTE ALIGHIERI, 35",Vicenza,36048,Veneto,VIA DANTE ALIGHIERI 35/A,Vicenza,36048,VENETO,620100,25/03/2019,,Attiva,S.R.L.
73.,SPIAGGE SRL,IT04536640404,04536640404,RN0419931,04536640404,"VIA MARECCHIESE, 48",Rimini,47923,Emilia-Romagna,VIALE XXIII SETTEMBRE 1845,Rimini,47921,EMILIA-ROMAGNA,620200,03/12/2020,,Attiva,S.R.L.
74.,GIOIELLERIA ITALIANA SOCIETA' A RESPONSABILITA' LIMITATA,IT01797090097,01797090097,SV0217261,01797090097,"VIA POGGIO DEL SOLE SUPERIORE, 1",Savona,17012,Liguria,VIA POGGIO DEL SOLE SUPERIORE 1,Savona,17012,LIGURIA,620100,05/07/2019,,Attiva,S.R.L.
75.,QUANTIX DIGITAL S.R.L.,IT02824080184,02824080184,PV0303993,02824080184,"VIA ANTONIO OROBONI, 6",Pavia,27029,Lombardia,,,,,282930,29/01/2021,,Attiva,S.R.L.
76.,FINE SRL,IT04038490134,04038490134,MI2740923,04038490134,"VLE LUIGI MAJNO, 9",Milano,20122,Lombardia,,,,,620100,20/06/2022,,Attiva,S.R.L.
