Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Enilive,https://www.crunchbase.com/organization/enilive,Private,For Profit,"Biofuel, Car Sharing, Energy Efficiency, Transportation",1001-5000,"Roma, Lazio, Italy","1,495",,"1,173",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Kohlberg Kravis Roberts,3525500000,EUR,3794908074,,,,,Secondary Market,587500000,EUR,614910239,2025-02-18,,2,,,"Energy, Natural Resources, Sustainability, Transportation",,,,,,"Enilive is Eni's mobility transformation company, focusing on integrated, decarbonized services and products. Enilive is committed to sustainable mobility solutions, including car sharing and biomethane production, to enhance ecological transportation options. Enilive strives to offer increasingly low-carbon services and products to support the energy transition.",,,https://www.linkedin.com/company/enilive,http://www.enilive.com,,,,,2023-01-01,year,Active,"Enilive is Eni's mobility transformation company focusing on integrated, decarbonized services and products.",,144,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Electrolux Professional,https://www.crunchbase.com/organization/electrolux-professional,Public,For Profit,"Laundry and Dry-cleaning, Machinery Manufacturing",1001-5000,"Pordenone, Friuli-Venezia Giulia, Italy","3,453",,"2,808",ECTXF,https://www.crunchbase.com/ipo/electrolux-professional-ipo--6d643d0f,11,,,OTC Pink,,,,,,,,,2020-05-27,,,,,,,,,,,,Made Acquisitions,1,,,,140000000,EUR,137227995,,,,,Post-IPO Debt,140000000,EUR,137227995,2022-09-30,IPO,1,Axel Wenner-Gren,1,"Clothing and Apparel, Manufacturing",,,,,,"Electrolux Professional is a global provider of food service, beverage, and laundry solutions for a wide range of customers including restaurants, hotels, healthcare, educational, and other service facilities. Combi ovens, cooking ranges, refrigerated cabinets, chillers, and dishwashing equipment are among Electrolux Professional's products, as are coffee grinders, coffee machines, hot beverage dispensers, cold beverage and juice dispensers, frozen drink and ice cream dispensers, commercial washers, tumble dryers, drying cabinets, ironers, and related specialty accessories and systems. The company focuses on solutions that require high-performance, dependable equipment.",,,https://www.linkedin.com/company/electrolux-professional/,https://www.electroluxprofessional.com,,,2020-05-27,day,2019-01-01,day,Active,"Electrolux Professional is a global provider of food service, beverage, and laundry solutions.",$1B to $10B,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
NanoPhoria,https://www.crunchbase.com/organization/nanophoria,Private,For Profit,"Analytics, Biotechnology, Health Care",1-10,"Milan, Lombardia, Italy","4,329",,"3,530",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,EIC Accelerator,17500000,EUR,18349624,Seed,15000000,EUR,15728249,Seed,15000000,EUR,15728249,2025-02-17,Seed,2,,,"Biotechnology, Data and Analytics, Health Care, Science and Engineering",,,,,,"NanoPhoria is a biotechnology company focused on the development of innovative cardiovascular treatments. It specializes in a non-viral, nano-in-micro delivery system for biologics, designed to target the heart directly. This preclinical stage company is exploring the potential of inhalable therapies, utilizing tissue-directed delivery methods for therapeutic peptides and RNAs. NanoPhoria's approach aims to revolutionize the treatment of cardiovascular diseases by offering a versatile, non-viral drug delivery platform, formulated for both inhalation and other administration routes. With a dedicated team, NanoPhoria is committed to advancing cardiovascular health through groundbreaking research and development.",,info@nanophoria.com,https://www.linkedin.com/company/nanophoria,https://nanophoria.com,,,,,2022-01-01,year,Active,"NanoPhoria develops non-viral, nano-delivery systems for cardiovascular treatments, focusing on inhalable biologics.",$1M to $10M,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Akamas,https://www.crunchbase.com/organization/akamas,Private,For Profit,"Analytics, Application Performance Management, Artificial Intelligence (AI), Cloud Computing, Cloud Management, Enterprise Software, Machine Learning, SaaS, Software",11-50,"Milan, Lombardia, Italy","4,411",,"3,623",,,13,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,United Ventures,10000000,USD,10000000,Seed,10000000,USD,10000000,Seed,10000000,USD,10000000,2025-02-11,Seed,1,"Luca Forni, Stefano Doni",2,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,,,,"Akamas is the autonomous optimization platform that maximizes application performance, service reliability, and cloud cost savings.  Akamas helps performance engineers, developers, DevOps, platform engineers, and SREs be more productive, prevent incidents, and achieve aggressive optimization goals at enterprise scale.  Unlike infrastructure-focused cloud optimization tools, Akamas is application-aware, meaning that it optimizes full-stack configurations, taking into account application performance and reliability signals, SLOs, and user-defined constraints.  With support for both continuous optimization of live applications in production environments, and automated performance tuning of applications in test/pre-production, Akamas uses reinforcement learning AI, observability data, and safety constraints to autonomously identify and apply the best system configurations to achieve cost, performance, and reliability goals.  Founded by veterans in performance engineering, Akamas counts AWS, Dynatrace, Google Cloud, Gremlin, Mia-Platform, Micro Focus, RedHat, Tricentis, and Splunk among its technology partners. Akamas customers include leading financial services, SaaS software, and online consumer services brands.   Akamas is headquartered in Milan, with offices in Boston, Los Angeles, and Singapore.",,info@akamas.io,https://www.linkedin.com/company/akamaslabs/,https://www.akamas.io/,,,,,2019-01-01,year,Active,"Akamas AI safely optimizes application workloads for maximum performance, service quality, resilience and cost.",$1M to $10M,20158,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Arsenale Bioyards,https://www.crunchbase.com/organization/arsenale-bioyards,Private,For Profit,"Biotechnology, Health Care, Manufacturing",1-10,"Milan, Lombardia, Italy","4,546",,"3,719",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,"CDP Venture Capital, Plug and Play, Planet A Ventures, Acequia Capital (AceCap), byFounders",10000000,USD,10000000,Seed,10000000,USD,10000000,Seed,10000000,USD,10000000,2025-02-25,Seed,2,,,"Biotechnology, Health Care, Manufacturing, Science and Engineering",,,,,,"Arsenale is transforming biomanufacturing with a proprietary end-to-end platform that integrates advanced hardware, AI-driven software, and precision fermentation. Designed to bridge the gap from lab-scale innovation to industrial-scale production, Arsenale enables industries like food, chemicals, and materials to seamlessly develop and scale bio-based alternatives to petrochemicals and animal-derived products.  By empowering companies to co-design with nature, Arsenale aims to drastically reduce costs by up to 90% while also significantly shortening the timeline for industrial-scale adoption of sustainable products.  Headquartered in Milan, Italy, with operations in Pordenone and the US, Arsenale is building the industrial backbone of the bio-economy.",,info@arsenale.bio,https://www.linkedin.com/company/arsenale-bioyards/,https://www.arsenale.bio/,,,,,2023-01-01,year,Active,"Arsenale is an innovative end-to-end bio-manufacturing platform integrating hardware, data, and AI to produce at scale.",,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Cardo AI,https://www.crunchbase.com/organization/cardo-ai,Private,For Profit,"Artificial Intelligence (AI), Financial Services, FinTech, Software",101-250,"Milan, Lombardia, Italy","4,768",,"3,911",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,"FINTOP Capital, Fasanara Capital, JAM FINTOP, Digital Magics, Blackstone Innovations Investments",18947015,USD,18947015,Series A,15000000,USD,15000000,Series A,15000000,USD,15000000,2024-11-20,Early Stage Venture,3,"Altin Kadareja, Daniele Forza, Euron Metaliaj",3,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,,,,"Cardo AI is the software, intelligence and infrastructure company innovating the structured finance market that helps investors, issuers, servicers and lenders transact faster, better, and with lower costs. Our technology has facilitated the efficient management of over €18bn assets,  standardizing data coming from 100+ systems all over the world. Access your demo today: https://cardoai.com/request-a-demo/ Want to come to innovate with us? Check our job openings:  https://cardoai.com/talent/",,hello@cardoai.com,https://it.linkedin.com/company/cardoai,https://cardoai.com/,,,,,2018-01-01,year,Active,Cardo AI is a fintech company that offers artificial intelligence and data analytics to the structured finance market.,$10M to $50M,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
TimeFlow,https://www.crunchbase.com/organization/timeflow-optimization-control,Private,For Profit,"Information Technology, PaaS, Procurement, SaaS",11-50,"Milan, Lombardia, Italy","5,528",,"4,584",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,5,,"Cassa Depositi e Prestiti, Vertis, Azimut Holding, Growth Engine, Growth Capital",4325000,EUR,4595458,Seed,4000000,EUR,4197382,Seed,4000000,EUR,4197382,2025-02-17,Seed,2,"Federico Patrioli, Gianmarco Ferrante, Iacopo Albanese, Lorenzo Danese",4,"Information Technology, Software, Transportation",,,,,,"Through a Platform as a Service (PaaS), we provide access to an international and ever-expanding network of qualified Technology Partners, making the sourcing process of IT skills more efficient and less expensive.",+39 393 29 07 099,info@timeflow.it,https://www.linkedin.com/company/timeflowplatform/,https://timeflow.it,,,,,2020-05-12,day,Active,"The first international and ever-expanding network of qualified Technological Partners, makes the sourcing process fast and less expensive",Less than $1M,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Fabrick,https://www.crunchbase.com/organization/fabrick,Private,For Profit,"Banking, Finance, Financial Services, FinTech, Payments",251-500,"Milan, Lombardia, Italy","6,525",,"5,454",,,58,,8,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,3,2,2,"Mastercard, Reale Group",40000000,EUR,42778461,Venture - Series Unknown,,,,Venture - Series Unknown,,,,2023-06-06,,2,"Alberto Mussinatto, Marco Casartelli, Paolo Zaccardi",3,"Financial Services, Lending and Investments, Payments",,,,,,"Fabrick is a  financial services company that enables exchange between players that discover, collaborate, and create innovative solutions for end customers, through an API platform. The company specializes in the fields of banking, fintech, and information technology.",,,https://www.linkedin.com/company/fabrickfinance,https://www.fabrick.com,,,,,2018-01-01,year,Active,Fabrick is a financial services company that offers solutions to provide their customers with a wide range of digital payments.,$1M to $10M,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",12
qomodo,https://www.crunchbase.com/organization/qomodo,Private,For Profit,"Finance, Financial Services, FinTech",11-50,"Milan, Lombardia, Italy","7,458",,"6,234",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,"Plug and Play, RTP Global, Octopus Ventures, Primo Capital, Exor Ventures",48000000,EUR,50952835,Series A,13500000,EUR,14049387,Series A,13500000,EUR,14049387,2025-01-21,Early Stage Venture,2,Gianluca Cocco,1,Financial Services,,,,,,"Qomodo is an ""all-in-one"" payment methods aggregator, allowing physical commercial operators to safeguard and expand their cash flow and offer Buy Now Pay Later payments to customers, in addition to one-time payments. Qomodo focuses on merchants providing services for essential yet often unforeseen expenses, which typically involve a higher transaction value.",,info@qomodo.me,https://www.linkedin.com/company/87434954/admin/feed/posts/?feedType=following,https://www.qomodo.me/,,,,,2023-01-01,year,Active,"Fintech, Lending, Payment, SaaS",,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Exein,https://www.crunchbase.com/organization/exein,Private,For Profit,"Cyber Security, Information Technology, Internet of Things, Network Security, Software",11-50,"Roma, Lazio, Italy","7,541",,"6,305",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,"Partech, Redstone.VC, United Ventures, eCAPITAL ENTREPRENEURIAL PARTNERS, 33N Ventures",23000000,EUR,25668223,Series B,15000000,EUR,16382253,Series B,15000000,EUR,16382253,2024-07-12,Early Stage Venture,3,Gianni Cuozzo,1,"Information Technology, Internet Services, Privacy and Security, Software",,,,,,"The firmware security software and middleware can be injected like a vaccine in the hardware and aims to defend it from inside, working directly into the firmware at a lower level.",,info@exein.io,https://www.linkedin.com/company/exein,https://www.exein.io,,,,,2018-07-01,month,Active,Exein is a firmware-focused cybersecurity startup that develops an open-source IoT security framework.,$1B to $10B,196,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
